Metric,Validation Set,Test Set
AUC,0.9963483674925895,0.9971417429797008
Accuracy,0.964,0.971
F1 Score,0.9722222222222222,0.9770750988142293
Weighted F1 Score,0.9639766414141413,0.9709421419160549
