Metric,Validation Set,Test Set
AUC,0.9960024694493215,0.9974117132829674
Accuracy,0.964,0.979
F1 Score,0.9722222222222222,0.9833729216152018
Weighted F1 Score,0.9639766414141413,0.9789703329605481
