Metric,Validation Set,Test Set
AUC,0.9959061434119558,0.9972274478378806
Accuracy,0.963,0.969
F1 Score,0.9715165511932256,0.9754552652414884
Weighted F1 Score,0.9629392542710896,0.9689562057989044
