iter	Passed	Remaining
225	686	2351
226	691	2353
227	692	2345
228	694	2338
229	699	2340
230	704	2343
231	706	2337
232	707	2328
233	708	2320
234	713	2321
235	714	2313
236	716	2306
237	718	2300
238	723	2303
239	728	2306
240	730	2299
241	732	2294
242	733	2286
243	739	2289
244	740	2282
245	744	2283
246	746	2274
247	747	2265
248	748	2257
249	749	2248
250	754	2250
251	758	2252
252	759	2243
253	761	2235
254	765	2236
255	769	2235
256	772	2233
257	778	2237
258	782	2237
259	786	2239
260	790	2236
261	793	2234
262	794	2226
263	796	2220
264	801	2222
265	805	2223
266	810	2224
267	814	2225
268	819	2225
269	821	2220
270	823	2215
271	828	2216
272	832	2215
273	833	2208
274	835	2201
275	836	2195
276	841	2196
277	843	2190
278	845	2184
279	850	2185
280	851	2179
281	853	2173
282	855	2166
283	856	2158
284	860	2157
285	862	2154
286	867	2155
287	872	2157
288	875	2153
289	879	2153
290	881	2148
291	886	2148
292	888	2144
293	893	2144
294	895	2139
295	897	2133
296	902	2135
297	907	2136
298	908	2129
299	912	2129
300	916	2128
301	918	2124
302	923	2123
303	927	2123
304	931	2122
305	934	2118
306	936	2114
307	944	2121
308	950	2126
309	958	2132
310	960	2128
311	963	2123
312	965	2118
313	967	2113
314	968	2106
315	970	2100
316	972	2095
317	973	2087
318	977	2087
319	979	2081
320	983	2079
321	984	2073
322	989	2073
323	991	2068
324	995	2068
325	1000	2068
326	1002	2062
327	1003	2054
328	1004	2049
329	1006	2042
330	1008	2037
331	1012	2038
332	1017	2037
333	1018	2031
334	1023	2030
335	1027	2029
336	1031	2028
337	1031	2021
338	1036	2020
339	1037	2013
340	1039	2008
341	1044	2008
342	1049	2010
343	1050	2003
344	1051	1996
345	1056	1997
346	1063	2001
347	1066	1997
348	1070	1997
349	1079	2005
350	1085	2006
351	1086	2000
352	1088	1995
353	1089	1988
354	1091	1982
355	1094	1979
356	1098	1978
357	1100	1973
358	1103	1970
359	1104	1963
360	1106	1957
361	1107	1952
362	1112	1951
363	1113	1944
364	1114	1938
365	1118	1937
366	1120	1932
367	1122	1927
368	1126	1926
369	1127	1920
370	1128	1913
371	1130	1908
372	1131	1902
373	1136	1901
374	1137	1896
375	1142	1895
376	1146	1895
377	1150	1893
378	1153	1889
379	1154	1883
380	1158	1882
381	1163	1881
382	1164	1876
383	1167	1872
384	1171	1871
385	1175	1869
386	1177	1865
387	1185	1869
388	1187	1865
389	1192	1864
390	1197	1865
391	1199	1860
392	1203	1859
393	1208	1859
394	1213	1858
395	1216	1855
396	1220	1854
397	1225	1853
398	1227	1849
399	1230	1846
400	1232	1841
401	1233	1835
402	1238	1834
403	1239	1829
404	1241	1823
405	1242	1817
406	1247	1817
407	1251	1815
408	1254	1812
409	1255	1807
410	1256	1801
411	1260	1799
412	1265	1798
413	1268	1795
414	1270	1790
415	1271	1785
416	1276	1784
417	1278	1780
418	1281	1776
419	1284	1773
420	1290	1775
421	1297	1777
422	1302	1776
423	1308	1777
424	1315	1779
425	1322	1781
426	1325	1779
427	1331	1779
428	1333	1775
429	1335	1769
430	1341	1771
431	1344	1767
432	1349	1767
433	1352	1764
434	1357	1762
435	1362	1762
436	1365	1758
437	1366	1753
438	1367	1747
439	1370	1744
440	1376	1745
441	1382	1744
442	1388	1745
443	1390	1740
444	1396	1741
445	1399	1738
446	1404	1737
447	1411	1739
448	1416	1738
449	1418	1733
450	1423	1732
451	1426	1729
452	1427	1723
453	1429	1718
454	1436	1720
455	1438	1716
456	1442	1713
457	1449	1715
458	1454	1714
459	1456	1709
460	1460	1707
461	1462	1703
462	1463	1697
463	1467	1695
464	1472	1694
465	1477	1692
466	1478	1687
467	1482	1685
468	1483	1680
469	1488	1678
470	1493	1677
471	1497	1675
472	1502	1673
473	1506	1672
474	1510	1669
475	1514	1667
476	1516	1662
477	1517	1657
478	1518	1652
479	1520	1647
480	1523	1643
481	1527	1641
482	1530	1638
483	1535	1636
484	1539	1634
485	1541	1630
486	1545	1627
487	1548	1624
488	1549	1618
489	1553	1616
490	1555	1612
491	1559	1610
492	1565	1609
493	1568	1606
494	1573	1604
495	1577	1602
496	1580	1599
497	1581	1594
498	1585	1592
499	1587	1587
500	1591	1585
501	1594	1581
502	1595	1575
503	1596	1571
504	1601	1569
505	1604	1566
506	1607	1563
507	1612	1561
508	1617	1560
509	1621	1558
510	1623	1553
511	1624	1548
512	1625	1543
513	1626	1538
514	1628	1533
515	1632	1531
516	1636	1528
517	1640	1526
518	1645	1524
519	1650	1523
520	1654	1520
521	1658	1518
522	1663	1516
523	1664	1511
524	1665	1506
525	1668	1503
526	1669	1498
527	1673	1496
528	1677	1493
529	1678	1488
530	1682	1486
531	1686	1483
532	1688	1479
533	1692	1477
534	1697	1475
535	1698	1470
536	1702	1467
537	1706	1465
538	1708	1461
539	1711	1457
540	1713	1453
541	1715	1449
542	1720	1447
543	1725	1446
544	1726	1441
545	1731	1439
546	1732	1434
547	1733	1429
548	1734	1424
549	1736	1420
550	1738	1416
551	1743	1415
552	1745	1410
553	1746	1406
554	1751	1404
555	1753	1400
556	1756	1396
557	1758	1393
558	1762	1390
559	1768	1389
560	1770	1385
561	1771	1380
562	1776	1378
563	1782	1377
564	1783	1372
565	1784	1368
566	1786	1363
567	1787	1359
568	1789	1355
569	1790	1350
570	1792	1346
571	1793	1342
572	1796	1338
573	1800	1336
574	1804	1333
575	1809	1331
576	1812	1328
577	1813	1323
578	1817	1321
579	1819	1317
580	1824	1315
581	1828	1313
582	1834	1311
583	1835	1307
584	1836	1303
585	1841	1300
586	1842	1296
587	1843	1291
588	1845	1287
589	1849	1285
590	1851	1281
591	1852	1276
592	1854	1272
593	1859	1270
594	1864	1268
595	1865	1264
596	1870	1262
597	1871	1258
598	1874	1255
599	1876	1251
600	1877	1246
601	1882	1244
602	1883	1240
603	1888	1238
604	1893	1236
605	1895	1232
606	1896	1228
607	1900	1225
608	1905	1223
609	1910	1221
610	1915	1219
611	1920	1217
612	1926	1215
613	1931	1214
614	1933	1210
615	1936	1207
616	1938	1203
617	1942	1200
618	1944	1196
619	1945	1192
620	1949	1189
621	1951	1186
