Model,Total Training Time (s),Iterations,Avg Time Per Iteration (s)
CatBoost,2.0170326232910156,522,0.0038640471710555853
LightGBM,0.7130200862884521,597,0.0011943385029957322
XGBoost,0.9696812629699707,425,0.0022816029716940488
